id,link,name,country,genre,status
138271,https://www.metal-archives.com/bands/%C3%81ngel_de_Acero/3540455769,Ángel de Acero,Mexico,Heavy/Speed Metal,Unknown
138272,https://www.metal-archives.com/bands/%C3%81ngel_Negro/3540436612,Ángel Negro,Argentina,Heavy Metal,Active
138273,https://www.metal-archives.com/bands/%C3%81ngeles_Ca%C3%ADdos/3540452444,Ángeles Caídos,Mexico,Heavy Metal,Split-up
138274,https://www.metal-archives.com/bands/%C3%81ngeles_Ca%C3%ADdos/3540460688,Ángeles Caídos,Spain,Heavy Metal/Hard Rock,Split-up
138275,https://www.metal-archives.com/bands/%C3%81ngeles_de_Acero/3540455870,Ángeles de Acero,Mexico,Heavy/Power Metal,Active
138276,https://www.metal-archives.com/bands/%C3%84ngelust/3540369705,Ängelust,United States,Black 'n' Roll,Active
138277,https://www.metal-archives.com/bands/%C3%81nima_Barroca/3540277026,Ánima Barroca,Spain,Melodic Power/Progressive Metal,Active
138278,https://www.metal-archives.com/bands/%C3%81nima_de_Luz/3540469782,Ánima de Luz,Mexico,Symphonic Metal,Active
138279,https://www.metal-archives.com/bands/%C3%81nima_Sola/42793,Ánima Sola,Spain,Heavy/Power Metal,Split-up
138280,https://www.metal-archives.com/bands/%C3%81nima_Trece/3540455378,Ánima Trece,Spain,Heavy Metal,Active
138281,https://www.metal-archives.com/bands/%C3%82nsia_de_V%C3%B4mito/11361,Ânsia de Vômito,Brazil,Death Metal/Grindcore,Active
138282,https://www.metal-archives.com/bands/%C3%84nterbila/3540468381,Änterbila,Sweden,Black/Folk Metal,Active
138283,https://www.metal-archives.com/bands/%C3%82qen/3540398160,Âqen,France,Atmospheric Black Metal,Active
138284,https://www.metal-archives.com/bands/%C3%84ra_Kr%C3%A2/3540329740,Ära Krâ,Germany,Post-Black Metal/Metalcore,Split-up
138285,https://www.metal-archives.com/bands/%C3%81r%C3%A9sz/58473,Árész,Hungary,Thrash/Heavy Metal,Split-up
138286,https://www.metal-archives.com/bands/%C3%84rid/3540399177,Ärid,United States,Raw Black Metal,Active
138287,https://www.metal-archives.com/bands/%C3%81rido/3540298888,Árido,Chile,Melodic Death Metal,Active
